gender,age_bucket,urbanicity,prefer_corrugated
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,1
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
male,18_to_35,urban,0
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
female,18_to_35,urban,1
